"id";"waga";"wzrost";"plec";"dzieci";"wiek";"dochod";"oszczednosci";"jednoos";"miejsce";"wydatki_zyw"
52;78.93;176.2;2;5;59;979.01;673.17;0;3;194.96
101;78.66;165.73;1;3;52;1043.36;543.89;0;2;259.2
146;74.29;171.33;1;2;57;1227.69;773.2;0;1;244.41
281;79.11;169.24;1;1;59;2356.74;1914.74;1;2;239.77
167;79.23;177.78;2;1;48;1264.95;536.29;1;3;291.05
207;83.49;179.58;2;1;55;1445.19;869.87;1;2;273.74
218;75.17;164.75;1;0;75;1480.24;1089.26;1;1;216
102;80.08;171.25;1;1;55;972.38;279.87;0;1;286.58
203;80.5;179.5;2;1;61;1418.67;792.67;1;2;279.92
179;79.46;170.64;1;2;52;1273.49;1007.19;1;3;174.4
263;83.68;181.1;2;2;46;2082.24;1733.66;1;1;212.98
99;83.12;181.91;2;4;51;1085.84;814.58;0;3;182.92
8;80.23;163.14;1;2;51;789.01;-97.74;0;1;289.84
125;78.01;172.86;1;3;61;1110.82;400.93;0;1;288.84
273;82.64;162.59;1;3;55;2180.59;1921.61;1;2;174.51
200;85.95;177.48;2;4;51;1346.34;1251.88;1;2;88.64
7;82.98;180.11;2;2;53;851.37;124.69;0;2;293.29
285;83.62;178.11;2;2;52;2535.06;1692.91;1;1;292.82
84;78.36;174.98;1;1;67;965.44;567.71;0;3;223.68
81;77.55;168.5;1;2;59;980.77;297.84;0;2;286.82
178;79.59;167.45;1;2;57;1375.31;898.47;1;1;250.32
70;86.07;189.87;2;0;56;1020.2;522.57;0;2;258.21
75;80.41;177.35;2;1;51;1064.46;324.72;0;3;291.41
278;78.09;168.83;1;1;57;2422.07;2110.18;1;1;191.29
40;85.36;173.44;2;1;46;860.05;10.34;0;3;291.85
196;82.17;182.09;2;3;58;1319.76;644.78;1;2;290.38
110;83.99;164.71;1;1;53;1120;539.62;0;3;276.81
191;79.53;167.59;1;2;60;1360.88;856.09;1;2;256.58
115;81.31;164.49;1;1;43;1192.53;1018.15;0;1;130.04
224;80.51;182.64;2;3;48;1620.63;1066.79;1;2;271.55
243;75.44;168.97;1;0;57;1789.37;1459.79;1;3;197.82
229;79.99;166.46;1;1;52;1573.71;1178.02;1;3;227.63
118;75.93;168.05;1;1;52;1081.96;649.04;0;1;236.59
98;84.7;177.75;2;1;55;1086.29;411.28;0;2;288.37
188;75.22;169.56;1;3;61;1339.5;1120.02;1;2;150.87
151;83.95;173.29;2;4;56;1159.49;383.27;0;2;296.11
177;76.21;166.88;1;1;58;1247.05;942.85;1;2;187.5
176;80.94;171.9;2;2;58;1195.13;702.69;0;1;255.7
190;80.01;183.03;2;1;56;1417.68;1136.27;1;2;180.8
258;80.63;177.11;2;0;49;1773.33;1609.71;1;1;121.12
112;73.18;171.45;1;0;61;1062.45;665.43;0;1;220.13
260;81.68;173.13;1;2;43;1981.54;1652.74;1;2;206.1
60;84.44;174.46;2;4;64;873.89;211.4;0;2;289.34
2;79.25;171.25;1;2;58;804.21;369.51;0;2;236.6
296;78.32;172.04;1;2;50;3289.24;2640.79;1;2;286.58
63;76.61;170.08;1;3;43;965.96;378.79;0;2;280.36
195;82.37;161.99;1;0;53;1336.33;1214.82;1;1;98.05
248;76.5;169.38;1;3;63;1804.69;1399.44;1;1;229.2
31;86.64;174.42;2;1;48;869.76;327.96;0;2;271.32
292;77.57;162.35;1;2;55;2971.62;2729.54;1;3;162.71
165;77.62;171.59;2;2;49;1181;814.92;0;2;217.25
290;79.12;172.57;2;4;55;2855.78;2122.16;1;1;294.27
227;78.02;189.31;2;0;59;1617.21;1147.18;1;2;246.49
162;82.31;174.7;2;0;54;1206.89;785.19;0;2;235.16
286;79.81;169.61;1;0;62;2701.68;2375.55;1;1;197
122;82.21;180.45;2;2;64;978.29;211.6;0;3;291.63
97;79.53;172.77;1;4;54;978.86;687.1;0;3;191.07
133;77.06;161.65;1;3;63;969.77;133.97;0;3;288.78
268;84.66;179.59;2;3;57;2118.51;1524.65;1;1;279.92
35;83.21;168.2;1;0;48;853.33;182.81;0;3;286.03
194;81.29;175.45;1;1;46;1337.65;1105.12;1;3;159.9
124;79.32;174.37;2;2;69;998.77;352.63;0;2;280.79
213;78.87;165.48;2;2;56;1449.45;776.79;1;3;287.12
159;80.73;179.73;2;5;47;1233.8;891.87;0;3;215.61
259;86.57;175.83;2;1;64;1712.88;1659.56;1;2;56.52
155;83.95;169.5;2;0;59;1229.95;709.88;0;2;262.29
114;79.89;170;1;1;56;987.74;649.35;0;2;204.34
38;78.19;166.01;1;0;42;895.58;121.05;0;1;293.64
107;77.54;163.51;1;0;54;999.35;625.78;0;3;215.15
308;77.76;171.11;1;2;56;5955.49;3521.98;1;3;-939.57
29;81.71;172.9;1;3;58;870.96;104.67;0;2;296.54
242;81.55;179.84;2;2;62;1726.16;1215.55;1;2;260.41
277;85.3;175.28;2;2;43;2322.27;1625.12;1;2;295.28
105;81.12;170.88;1;0;43;1149.58;727.39;0;2;236.15
202;81.99;181.35;2;0;59;1400.44;1032.9;1;2;215.9
187;74.38;177.98;1;2;59;1273.03;1120.97;1;3;113.44
16;79.51;169.77;1;3;54;742.79;255.45;0;3;258
270;80.08;179.24;2;4;65;2072.16;1925.01;1;1;114.91
129;78.59;172.51;1;3;59;1140.48;470.26;0;1;289.09
206;76.12;159.02;1;0;77;1285.93;1099.46;0;1;125
141;77.93;159.97;1;2;54;1093.35;303.38;0;3;294.04
283;80.76;162.26;1;1;63;2604.74;1916.56;1;1;287.44
94;76.76;166.75;1;2;57;978.04;642.99;0;2;204.32
262;77.35;167.03;1;2;48;2058.81;1796.23;1;1;173.48
55;84.95;185.16;2;5;64;773.07;343.21;0;1;241.4
76;78.51;186.53;2;4;54;938.18;569.42;0;3;220.59
33;84.17;183.32;2;2;65;731.45;233.47;0;1;258.42
298;76.35;170.42;1;0;57;3467.62;2497.21;1;2;272.89
69;76.43;167.82;1;4;69;797.22;-23.37;0;2;290.68
72;82.19;172.02;1;4;50;954.01;627.64;0;1;207.9
1;80.96;171.07;1;4;55;708.72;332.61;0;3;222.89
37;76.95;167.37;1;0;64;883;74.7;0;3;287.38
5;76.92;171.01;1;3;64;703.44;-17.29;0;1;289.55
89;75.31;168.73;1;1;49;954.39;656.28;0;3;187.92
100;80.12;164.75;1;2;58;1036.49;749.39;0;1;184.02
269;86.65;175.92;2;3;53;1997.85;1373.83;1;2;286.98
134;83.03;173.41;2;5;58;1036.19;461.93;0;3;278.21
183;74.46;163.88;1;1;49;1312.8;1061.76;1;1;166.23
295;81.57;169.84;2;1;60;3110.79;2478.51;1;2;280.93
182;85.78;170.02;2;4;61;1278.36;884.06;1;1;233.35
208;76.86;173.83;2;1;61;1306.08;1147.79;1;2;116.11
3;73.69;167.48;1;1;63;645.27;232.55;0;1;227.18
252;77.92;163.04;1;3;63;1676.53;1048.7;1;3;280.33
246;81.77;172.27;1;3;50;1730.86;1556.03;1;2;132.74
289;77.33;162.53;1;2;61;2901.89;2164.42;1;2;287.86
6;78.03;177.96;2;1;66;761.9;352.56;0;3;226.98
50;79.99;178.72;2;1;61;852.57;271.85;0;1;272.24
225;77.48;165.03;1;3;66;1454.4;1118.82;1;2;204.98
10;80.38;174.51;2;0;61;803.72;341.12;0;3;243.37
197;74.21;158.13;1;2;66;1258.56;1030.33;1;3;151.79
18;76.48;175.64;1;1;51;789.18;267.25;0;3;260.56
9;85.49;174.2;2;1;44;925.24;552.9;0;1;220.79
249;77.28;170.6;1;1;48;1776.78;1203.18;1;3;275.4
15;84.74;179.7;2;1;62;696.35;-15.51;0;1;289.96
104;80.34;176.49;2;3;52;978.08;116.21;0;3;291.89
300;78.18;167.66;1;0;65;3632.65;2463.14;1;2;216.29
161;84.05;174.37;2;1;41;1283.67;736.86;0;1;270.9
145;75.26;167.04;1;2;61;1095.72;888.26;0;2;144.1
287;79.51;173.55;1;4;51;2785.75;2273.85;1;2;266.63
59;83.3;180.17;2;3;55;913.27;460.89;0;3;248.09
85;86.5;180.26;2;2;51;1050.6;793.51;0;2;174.29
301;82.57;181.19;2;4;46;3751.99;2961.96;1;1;297.58
139;80.57;173.76;2;5;51;1127.22;466.7;0;2;293.44
214;83.84;185.23;2;1;61;1457.93;760.59;1;3;289.02
93;81.22;164.08;1;5;54;1035.88;184.96;0;3;296.8
181;83.78;174.48;2;2;51;1351.13;1234.6;1;1;99.49
254;68.89;160.59;1;0;62;1659.38;1084.26;1;1;263.35
90;82.49;185.54;2;2;54;949.19;574.92;0;2;220.76
25;83.97;178.36;2;3;63;785.42;251.42;0;2;266.34
20;74.46;166.2;1;3;56;743.46;-141.06;0;3;287.31
49;76.06;164.91;1;4;63;784.28;370.86;0;1;234.12
27;77.56;174.66;1;3;59;771.06;-30.43;0;1;293.62
53;80.61;168.07;1;0;58;899.31;579.81;0;1;194.53
175;74.74;167.77;1;1;74;1116.88;347.75;0;2;284.5
220;76.28;172.23;1;2;58;1563.3;1419.91;1;2;109.42
228;79;170.13;1;3;57;1616.67;1341.69;1;1;179.14
140;79.3;172.34;1;3;60;1025.89;267.76;0;1;292.63
256;81.84;167.44;1;0;50;1867.89;1536.74;1;3;202.19
22;80.36;163.48;1;3;58;753.68;-95.95;0;3;292.19
237;80.4;182.58;2;5;57;1698.7;1560.12;1;2;112.13
223;74.73;165.84;1;1;56;1551.05;855.67;1;2;286.92
109;83.21;172.66;2;3;50;1148.4;538.2;0;1;284.01
157;82.15;177.47;2;3;65;1144.22;392.13;0;3;292.15
82;75.6;159.04;1;1;64;971.33;306.61;0;2;282.13
306;84.66;168.19;2;1;53;5103.53;3350.77;1;2;-133.78
71;81.7;179.66;2;2;54;966.05;293.38;0;2;289.53
222;80.55;177.22;2;0;58;1575.92;885.43;1;3;285.7
232;84.44;176.65;2;1;48;1633.73;1095.75;1;2;269.93
47;81;172.25;2;1;54;994.19;570.04;0;2;235.19
231;82.52;185.5;2;1;51;1594.01;1395.07;1;2;140.37
23;81.17;168.95;1;1;61;820.18;393.79;0;3;235.33
113;86.06;182.83;2;2;45;1051.55;347.82;0;1;294.43
74;78.08;165.33;1;1;60;878.98;237.38;0;1;279.46
39;75.64;179.6;2;3;67;781.52;236.93;0;2;265.51
21;83.59;190.79;2;0;43;934.89;354.18;0;1;277.35
61;75.59;164.51;1;3;64;895.01;548.69;0;2;206.48
12;77.24;173.77;2;2;50;835.03;-110.2;0;2;279.53
205;80.78;179.98;2;1;58;1498.24;1005.95;1;2;254
91;75.46;167.66;1;2;62;948.17;616.53;0;1;199.84
236;81.1;178.87;2;3;56;1617.44;1569.45;1;2;56.27
135;84.21;170.23;1;0;57;1007.99;353.65;0;2;284.91
199;76.65;166.07;1;1;64;1393.86;1279.68;0;1;89.75
73;81.71;182.56;2;4;55;1000.66;242.44;0;2;295.74
153;71.38;162.49;1;1;53;1203.32;678.18;0;1;261.26
264;75.07;170.68;1;4;68;2002.63;1522.02;1;1;250.39
143;80.53;173.1;1;1;54;1240.81;597.42;0;1;282.75
34;78.43;161.32;1;1;59;832.29;197.74;0;2;280.91
120;81;187.08;2;2;60;969.08;561.19;0;2;230.91
64;75.97;168.08;1;3;58;903.75;435.52;0;2;249.14
19;83.62;181.48;2;1;62;809.01;334.21;0;2;251.26
166;78.48;179.81;2;4;58;1168.42;697.65;0;3;254.46
123;80.75;184.19;2;5;57;1114.57;798.38;0;2;202.56
127;77.4;165.63;1;4;65;988.11;771.66;0;1;151.42
257;81.25;176.59;2;2;56;1815.77;1464.29;1;3;209.98
128;81.21;179.4;2;3;65;970.9;300.13;0;2;288.02
126;76.9;163.91;1;1;68;1100.01;271.15;0;1;285.15
275;75.64;170.78;1;2;57;2200.5;1734.21;1;2;247.96
238;79.53;166.24;1;3;55;1566.28;1467.62;1;2;85.75
169;86.08;188.08;2;0;51;1243.73;826.12;0;3;234.72
77;78.98;167.93;1;0;53;869.89;153.29;0;3;288.01
142;78.46;179.18;2;2;51;1189.15;684.74;0;1;260.56
148;78.71;159.99;1;2;45;1255.33;964.07;0;2;189.59
245;78.87;174.87;1;2;58;1635.88;1543.43;1;2;81.32
198;81.21;158.87;1;1;56;1287.39;977.62;1;1;195.06
32;84.72;174.11;2;4;53;911.49;329.06;0;2;281.67
251;84.25;181.3;2;1;53;1709.61;1440.18;1;2;178.18
87;79.25;163.98;1;2;62;1038.5;775.21;0;2;172.88
30;74.97;166.57;2;2;58;941.65;342.6;0;2;277.45
54;76.49;164.29;1;1;65;949.75;502.47;0;3;239.72
119;80.41;178.38;2;2;52;1004.97;518.7;0;3;256.47
284;86.73;178.41;2;2;58;2578.76;2060.04;1;2;264.07
88;76.96;162.51;1;1;57;1037.75;632.72;0;1;228.7
111;79.71;181.89;2;1;54;1091;437.6;0;3;286.49
144;83.4;182.99;2;0;63;1106.84;482.94;0;2;277.39
11;79.09;173.51;1;0;67;726.79;-204.24;0;2;276.31
24;79.9;175.8;1;3;64;822.08;352.09;0;3;250.54
282;82.72;183.29;2;2;50;2607.74;1919.13;1;3;291.67
299;78.26;167.07;1;2;44;3808.5;3161.68;1;3;287.68
92;78.13;173.42;1;0;51;1031.55;687.01;0;1;205.95
221;78.31;165.1;1;4;53;1630.81;1264.98;1;2;219.32
244;78.75;171.82;1;3;66;1756.77;1176.08;1;2;274.21
116;80.15;181.71;2;2;53;1161.25;830.85;0;1;203.87
279;82.69;178.37;2;1;66;2271.05;2034.73;1;1;159.15
132;83.24;181.38;2;4;56;1045.36;575.17;0;2;253.88
291;80.45;174.19;2;3;56;2815.43;1852.79;1;3;279.53
210;79.9;163.81;1;1;54;1504.87;935.98;1;1;273.08
172;79.89;178.14;1;1;58;1362.95;873.69;0;3;256.21
154;76.6;165.33;1;5;60;1109.22;436.53;0;2;290.13
43;80.85;181.16;2;4;56;854.03;-10.4;0;2;292.6
294;74.92;167.55;1;3;59;3173.45;2535.91;1;2;283.44
186;85.61;173.03;2;1;46;1417.57;1340.44;1;2;75.27
204;83.04;175.5;2;2;46;1479.57;979.02;1;1;261.05
241;81.57;179.59;2;0;55;1638.74;1517.72;1;2;96.1
156;80.97;178.01;2;1;37;1387.24;1126.32;0;1;177.67
131;81.16;178.74;2;0;68;1092.21;601.83;0;1;247.72
211;83.77;186.69;2;2;52;1425.71;1336.7;1;3;82.01
108;77.24;164.44;1;1;50;1154.17;784.15;0;2;214.2
226;76.63;162.71;1;4;67;1598.95;1133.23;1;3;248.02
106;77.42;181.6;1;1;53;1039.04;567.83;0;3;248.81
192;75.16;177.53;2;1;65;1241.11;496.02;1;3;287.04
42;78.5;174.97;1;1;56;780.76;-155.04;0;2;279.29
255;79.67;177.92;1;3;59;1811.41;1696.37;1;3;95.79
276;82.51;175.1;2;3;45;2387.85;2123.24;1;3;179.45
212;75.6;168.42;1;2;62;1519.6;1189.41;1;3;199.73
62;86.48;177.5;2;4;58;901.99;363.13;0;1;269.73
36;76.59;169.27;1;2;61;928.1;542.36;0;2;221.01
41;78.92;171.62;2;3;49;972.79;296.96;0;2;289.42
147;86.7;176.87;2;3;54;1096.29;560.28;0;1;270.57
271;77.59;165.87;1;0;52;2149.46;1575.12;1;1;271.37
80;77.33;166.28;1;1;61;957.53;648.32;0;3;189.16
28;79.26;165.97;1;3;64;741.25;181.03;0;2;268.28
150;76.72;168.62;1;2;50;1141.88;781.9;0;3;213.89
130;78.21;171.5;1;3;54;1114.82;667.57;0;2;243.62
293;79.02;168.52;1;4;47;2930.63;2265.98;1;2;292.09
14;79.78;165.16;1;1;56;886.34;5.82;0;3;287.67
310;77.87;170.23;1;5;55;17412.24;5485.22;1;1;-55640.19
304;79.18;175.14;1;1;52;4780.15;3390.59;1;2;124.69
266;81.37;175.26;2;4;49;2084.25;1579;1;3;265.3
201;75.51;164.64;1;3;50;1440.85;1325.78;1;1;96.79
288;81.7;174.57;2;2;57;2863.3;2067.71;1;3;292.49
79;72.33;166.88;1;4;43;945.23;541.37;0;2;233.19
215;80.22;177.93;2;0;50;1594.15;1267.86;1;3;198.93
56;80.55;164.35;1;1;47;987.73;717.26;0;1;178.04
230;78.04;160.41;1;4;60;1619.95;1271.01;1;1;211.16
216;75.72;172.57;1;2;50;1613.04;1243.72;1;3;218.81
170;82.18;177.66;1;2;51;1318.05;712.49;0;2;280.89
180;79.76;159.14;1;3;64;1220.11;767.2;1;1;243.27
240;80.07;178.46;1;1;51;1621.31;1222.53;1;3;228.03
66;82.43;177.17;2;1;52;873.81;189.14;0;2;289.51
149;80.73;171.29;1;2;62;1152.56;973.59;0;1;130.73
138;75.84;167.22;1;3;67;1033.34;480.16;0;2;267.43
17;72.98;163.27;1;1;61;849.42;436.02;0;2;230.55
26;80.85;180.16;2;1;57;803.07;380.07;0;1;233.99
121;80.4;181.58;2;2;58;1120.27;385.12;0;2;291.9
68;79.06;159.19;1;1;65;953.47;319.01;0;3;280.48
117;82.03;179.12;2;3;58;1061.96;808.57;0;2;170.01
234;82.14;177.44;2;2;51;1671.21;1407.91;1;2;175.94
137;81.67;176.14;2;2;39;1257.71;945.6;0;2;199.13
261;77.46;171.95;1;2;52;1884.01;1443.24;1;3;241.74
58;80.81;181.24;2;1;53;989.33;453.48;0;1;266.16
51;82.33;179.24;2;3;63;933.56;485.19;0;2;242.98
247;84.59;180.56;2;1;59;1704.41;1144.94;1;1;268.94
57;76.68;168.51;1;2;58;965.17;250.39;0;1;290.76
46;80.17;166.13;1;5;58;836.55;126.5;0;2;296.73
297;81.85;169.95;1;3;56;3243.21;2482.3;1;2;292.73
267;76.97;174.98;2;4;64;2056.06;1609.45;1;3;241.42
307;77.16;163.86;1;1;48;5784.33;3774.89;1;2;-391.43
233;85.46;178.86;2;5;59;1508.05;1126.53;1;3;227.63
250;76.52;178.65;1;1;57;1726.63;1511.45;1;1;146.43
280;77.82;167.15;1;1;63;2329.69;1731.13;1;2;272.93
103;81.61;172.15;1;5;57;944.69;620.47;0;2;204.68
164;74.7;171.03;1;3;60;1128.59;714.85;0;2;231.79
95;81.4;172.88;1;0;53;1054.07;703.44;0;2;210.6
65;79.83;166.87;2;1;48;1050.65;832.26;0;2;154.07
78;81.21;183.34;2;4;74;840.65;-57.43;0;2;286.3
4;80.84;179.87;2;2;56;793.26;17.62;0;3;293.88
302;84.74;178.04;2;4;42;3893.04;3086.41;1;3;301.69
45;79.26;175.47;2;1;65;928.05;509.8;0;2;230.46
160;82.91;176.62;2;1;54;1216.74;697.25;0;2;261.56
217;73.97;177.23;2;2;61;1419.61;743.83;1;2;285.4
158;73.69;175.76;1;2;67;1152.51;555.73;0;2;272.53
152;86.31;176.37;2;1;46;1327.36;925.75;0;1;233.61
189;83.66;182.18;2;2;53;1316.25;738.55;1;1;277.58
219;79.47;165.75;1;1;51;1582.46;966.28;1;2;279.01
193;75.68;155.67;1;3;59;1366.87;1067.55;1;2;187.92
168;82.6;164.78;1;2;50;1181.7;970.57;0;2;153.63
83;75.64;166.53;1;4;68;923.69;371.69;0;3;269.12
67;78.67;184.21;2;2;54;893.69;486.38;0;2;233.32
185;79.84;180.18;2;2;54;1268.11;639.34;1;2;284.41
303;85.08;175.06;2;1;52;4339.2;2921.25;1;2;110.6
272;82.19;165.49;1;0;58;2114.51;1882.84;1;2;155.02
86;76.64;174.76;1;3;66;930.13;548.37;0;2;220.28
305;78.44;165.26;1;5;57;4929.33;3336.75;1;2;-1.06
274;85.03;176.21;2;2;45;2261.69;1960.39;1;2;196.23
163;76.83;166.99;1;3;56;1273.13;1056.88;0;1;152.43
239;74.07;171.11;1;2;72;1667.3;1413.2;1;2;163.38
184;80.29;176.83;2;3;55;1275.33;531.28;1;2;293.73
44;78.17;184.69;2;2;59;924.39;94.68;0;1;293.3
235;81.61;178.53;2;1;47;1718.25;1285.56;1;2;238.28
174;80.24;165.34;1;0;44;1258.35;464.58;0;3;292.85
265;78.63;182.54;2;4;62;2045.35;1546.44;1;2;260.78
253;83.4;165.96;1;1;46;1789.59;1494.9;1;3;190.52
96;84.94;174.34;2;1;57;977.19;123.35;0;2;290.85
48;77.61;177.09;1;1;51;840.08;-85.1;0;2;281.53
209;81.26;179.94;2;1;55;1535.14;1066.3;1;3;249.39
136;77.59;170.41;2;3;62;1124.12;415.07;0;3;289.83
13;72.39;163.27;1;1;61;701.51;44.23;0;2;282.16
309;81.61;173.7;1;2;63;9557.08;3844.1;1;3;-10668.84
173;77.24;175.21;2;1;60;1182.43;710.35;0;3;246.36
171;75.77;161.41;1;4;61;1258.84;663.98;0;3;276.53
